Ahar,1,17,38.474,47.059
Ajab Shir,2,2,37.485,45.891
Amand,3,2,38.231,46.156
Ardebil 2,4,2,38.24,48.26
Astara,5,2,38.422,48.869
Basmanj,6,6,37.996,46.471
Bile-Savar,7,2,39.365,48.319
Damirchi,8,7,38.123,47.373
Eslam-Abad,9,3,38.126,47.944
Germi,10,4,39.05,48.057
Hadi Shahr,11,2,38.839,45.662
Haris,12,6,38.247,47.119
Havigh,13,2,38.149,48.891
Helabad,14,2,37.936,48.425
Hoorand,15,9,38.858,47.369
Kaleibar,16,10,38.87,47.039
Kariq,17,3,37.918,48.062
Khajeh,18,17,38.154,46.589
Khomarloo,19,3,39.153,47.031
Lahrood,20,3,38.507,47.826
Liqvan,21,5,37.833,46.432
Marand,22,5,38.445,45.774
Meshkin Shahr,23,6,38.394,47.667
Nahand,24,10,38.248,46.47
Namin,25,5,38.423,48.477
Nir,26,4,38.032,47.993
Niyaraq,27,2,38.26,48.63
Odloo,28,2,39.302,48.158
Razi,29,3,38.63,48.095
Sarab,30,2,37.935,47.541
Satarkhan Dam 1,31,7,38.457,46.915
Satarkhan Dam 2,32,8,38.457,46.915
Satarkhan Dam 3,33,6,38.457,46.915
Seyedtajedin,34,6,38.361,45.039
Shabestar,35,3,38.176,45.708
Sharabiyan,36,2,37.887,47.101
Sharafkhaneh,37,3,38.174,45.487
Soofiyan,38,2,38.284,45.98
Taleb-e-Qeshlaqi,39,2,38.403,48.206
Tasooj,40,7,38.314,45.361
Torkmanchay,41,2,37.579,47.391
Varzaqan,42,21,38.507,46.64
Yekan Kahriz,43,4,38.672,45.403
Zanjireh,44,6,38.456,45.366
Ziveh,45,3,39.114,47.648
Qareh Qeshlaq,46,2,38.207,44.954
Nahand Dam1,47,3,38.223,46.479
Nahand Dam3,48,8,38.223,46.479
Tabriz4,49,2,38.078,46.298
Tabriz6,50,2,38.017,46.388
Chaykandi,51,7,38.375,46.7
Sheykh-Khomloo,52,8,38.442,46.635
Nahand Dam2,53,8,38.224,46.479
Mehtarlo,54,9,38.471,46.71
khalkhal,55,2,37.608,48.537
daraam,56,2,37.024,48.775
ab-bar,57,2,36.925,48.954
poul,58,2,36.401,51.586
noor,59,2,36.574,52.011
noshahr,60,2,36.654,51.494
ALA,61,4,36.0829,52.8099
AZR,62,16,37.6775,45.9836
BST,63,19,37.7005,46.889
DMV,64,30,35.5773,52.323
FIR,65,23,35.6415,52.7536
GZV,66,22,36.3859,50.2183
GLO,67,21,36.5024,53.8309
HRS,68,16,38.3183,47.0417
HSH,69,3,37.3053,47.2637
KIA,70,6,36.207,53.6837
PRN,71,28,36.2419,52.3381
MRD,72,11,38.7132,45.7021
MHD,73,24,35.6853,50.6674
RAZ,74,27,35.4046,49.9291
SRB,75,19,37.8249,47.6634
SHB,76,13,38.2834,45.6119
TBZ,77,15,38.2348,46.1499
